Strike,Last,Volume,Open Int,Type,Time
1.67,166.4,0,147,Call,11/22/22
3.33,174.84,0,415,Call,11/18/22
5,179.47,0,778,Call,11/17/22
6.67,189.76,0,787,Call,11/15/22
8.33,188.37,0,804,Call,11/15/22
10,0,0,"1,584",Call,N/A
11.67,0,0,"1,214",Call,N/A
13.33,202.4,0,"1,448",Call,11/3/22
15,173.19,0,"1,588",Call,11/8/22
16.67,171.64,0,"1,055",Call,11/8/22
18.33,208.92,0,"2,136",Call,10/31/22
20,205.4,0,942,Call,10/26/22
26.67,189.4,0,"2,178",Call,10/17/22
33.33,189.45,0,"3,924",Call,10/25/22
40,160.22,0,"1,614",Call,11/7/22
46.67,122.4,0,"1,366",Call,11/22/22
50,120.2,0,"2,077",Call,11/22/22
53.33,131.15,0,992,Call,11/17/22
60,112.02,0,"2,540",Call,11/21/22
66.67,102.44,0,"7,049",Call,11/22/22
70,125.68,0,"3,123",Call,11/11/22
73.33,107,1,"1,716",Call,11/23/22
76.67,112,0,"2,138",Call,11/9/22
80,92.27,0,"1,966",Call,11/22/22
83.33,98.76,11,"2,465",Call,11/23/22
86.67,93.25,6,886,Call,11/23/22
90,79.88,0,"1,165",Call,11/22/22
93.33,79.87,0,718,Call,11/21/22
95,85.4,0,4,Call,11/18/22
96.67,83.2,0,498,Call,11/18/22
100,84.75,"3,537","7,901",Call,11/23/22
103.33,77.97,4,590,Call,11/23/22
105,65.71,0,15,Call,11/22/22
106.67,75.6,0,620,Call,11/18/22
108.33,75.2,2,354,Call,11/23/22
110,75.15,21,954,Call,11/23/22
111.67,89.55,0,390,Call,11/15/22
113.33,68.25,0,954,Call,11/18/22
115,60.88,2,295,Call,11/23/22
116.67,64.65,0,"2,277",Call,11/18/22
118.33,75.3,0,478,Call,11/11/22
120,63.2,4,"1,700",Call,11/23/22
121.67,61.5,0,551,Call,11/9/22
123.33,100.25,0,336,Call,10/11/22
125,49.42,0,483,Call,11/21/22
126.67,56.7,11,"1,879",Call,11/23/22
128.33,53.75,2,"2,685",Call,11/23/22
130,56.9,82,562,Call,11/23/22
131.67,48,0,345,Call,11/21/22
133.33,54.2,2,"4,586",Call,11/23/22
135,50.75,22,"1,253",Call,11/23/22
136.67,39.42,0,"1,847",Call,11/22/22
140,48.16,48,"2,410",Call,11/23/22
143.33,41.65,2,"2,031",Call,11/23/22
145,44.05,4,159,Call,11/23/22
146.67,42.1,7,"4,390",Call,11/23/22
150,40.19,876,"5,569",Call,11/23/22
153.33,35.5,13,"1,560",Call,11/23/22
155,36.15,14,533,Call,11/23/22
156.67,33.02,4,"1,075",Call,11/23/22
160,32.63,177,"2,363",Call,11/23/22
163.33,29.53,2,"2,240",Call,11/23/22
165,29.25,142,"8,565",Call,11/23/22
166.67,28.15,117,"19,621",Call,11/23/22
170,25.95,872,"4,613",Call,11/23/22
173.33,23.9,167,"2,340",Call,11/23/22
175,22.65,"1,354","9,147",Call,11/23/22
176.67,22.1,463,"1,582",Call,11/23/22
180,20.1,"3,335","5,657",Call,11/23/22
183.33,18.4,652,"7,516",Call,11/23/22
185,17.6,"1,299","2,015",Call,11/23/22
186.67,16.72,"1,277","5,506",Call,11/23/22
190,15.15,"2,541","3,417",Call,11/23/22
193.33,13.65,534,"6,426",Call,11/23/22
195,13.02,414,814,Call,11/23/22
200,11.21,"14,255","72,391",Call,11/23/22
203.33,10.05,505,"3,525",Call,11/23/22
205,9.4,"1,079",742,Call,11/23/22
206.67,8.96,588,"4,587",Call,11/23/22
210,7.8,"2,780","7,990",Call,11/23/22
213.33,7.14,296,"2,551",Call,11/23/22
215,6.71,575,938,Call,11/23/22
216.67,6.3,"1,686","32,291",Call,11/23/22
220,5.7,"4,434","25,433",Call,11/23/22
223.33,5.15,"1,817","6,454",Call,11/23/22
225,4.8,"1,462","1,630",Call,11/23/22
226.67,4.5,205,"4,607",Call,11/23/22
230,4.05,"2,203","10,955",Call,11/23/22
233.33,3.6,408,"17,866",Call,11/23/22
235,3.35,450,312,Call,11/23/22
236.67,3.05,52,"3,063",Call,11/23/22
240,2.88,"2,039","9,493",Call,11/23/22
243.33,2.54,123,"3,224",Call,11/23/22
245,2.42,84,171,Call,11/23/22
246.67,2.29,119,"2,859",Call,11/23/22
250,2.05,"5,701","25,012",Call,11/23/22
253.33,1.85,39,"1,543",Call,11/23/22
255,1.72,56,187,Call,11/23/22
256.67,1.56,162,"2,257",Call,11/23/22
260,1.5,495,"10,369",Call,11/23/22
265,1.31,43,97,Call,11/23/22
266.67,1.23,372,"21,041",Call,11/23/22
270,1.13,154,499,Call,11/23/22
273.33,1.03,189,"16,179",Call,11/23/22
275,0.99,233,107,Call,11/23/22
276.67,0.94,"1,740","34,301",Call,11/23/22
280,0.85,"2,180","14,720",Call,11/23/22
283.33,0.8,676,"10,913",Call,11/23/22
285,0.76,74,64,Call,11/23/22
286.67,0.7,72,"2,374",Call,11/23/22
